Sample name	Superpopulation code
HG00148	EUR
HG00150	EUR
HG00155	EUR
HG00117	EUR
HG00124	EUR
HG00136	EUR
HG00143	EUR
HG00129	EUR
HG00131	EUR
HG00100	EUR
HG00105	EUR
HG00097	EUR
HG00128	EUR
HG00130	EUR
HG00135	EUR
HG00109	EUR
HG00111	EUR
HG00116	EUR
HG00123	EUR
HG00096	EUR
HG00142	EUR
HG01192	AMR
HG01197	AMR
HG01200	AMR
HG01205	AMR
HG01243	AMR
HG01248	AMR
HG01250	AMR
HG01344	AMR
HG01349	AMR
HG01351	AMR
HG01281	AMR
HG01286	AMR
HG01301	AMR
HG01363	AMR
HG01375	AMR
HG01274	AMR
HG01279	AMR
HG01356	AMR
HG01325	AMR
HG01255	AMR
HG01774	EUR
HG01779	EUR
HG01700	EUR
HG01705	EUR
HG01762	EUR
HG01767	EUR
HG01781	EUR
HG01786	EUR
HG01849	EAS
HG01851	EAS
HG01806	EAS
HG01813	EAS
HG01798	EAS
HG01801	EAS
HG01748	EUR
HG01755	EUR
HG01844	EAS
HG02013	AFR
HG02018	EAS
HG02020	EAS
HG01988	AFR
HG01990	AFR
HG01995	AMR
HG02025	EAS
HG02032	EAS
HG01976	AMR
HG01983	AMR
HG02070	EAS
HG02075	EAS
HG02082	EAS
HG02087	EAS
HG02049	EAS
HG02051	AFR
HG02056	EAS
HG02068	EAS
HG02006	AMR
HG02253	AMR
HG02258	AFR
HG02260	AMR
HG02304	AMR
HG02309	AFR
HG02316	AFR
HG02277	AMR
HG02284	AFR
HG02265	AMR
HG02272	AMR
HG02291	AMR
HG02373	EAS
HG02323	AFR
HG02330	AFR
HG02380	EAS
HG02347	AMR
HG02594	AFR
HG02599	SAS
HG02602	SAS
HG02568	AFR
HG02570	AFR
HG02575	AFR
HG02652	SAS
HG02657	SAS
HG02614	AFR
HG02621	AFR
HG02582	AFR
HG02587	AFR
HG02683	SAS
HG02688	SAS
HG02676	AFR
HG02645	AFR
HG02690	SAS
HG02924	AFR
HG02943	AFR
HG02979	AFR
HG02981	AFR
HG03009	SAS
HG02861	AFR
HG02878	AFR
HG02880	AFR
HG02885	AFR
HG03016	SAS
HG03023	SAS
HG03028	AFR
HG02974	AFR
HG02892	AFR
HG00653	EAS
HG02897	AFR
HG00658	EAS
HG02948	AFR
HG00672	EAS
HG03268	AFR
HG00552	AMR
HG03270	AFR
HG00557	EAS
HG03193	AFR
HG00533	EAS
HG03198	AFR
HG00538	EAS
HG03294	AFR
HG00608	EAS
HG03299	AFR
HG00610	EAS
HG03237	SAS
HG00590	EAS
HG03249	AFR
HG00595	EAS
HG03251	AFR
HG00627	EAS
HG03162	AFR
HG00634	EAS
HG03302	AFR
HG00615	EAS
HG03307	AFR
HG00622	EAS
HG03225	AFR
HG00583	EAS
HG03167	AFR
HG00639	AMR
HG03369	AFR
